0 0
0.01 0.177248
0.02 0.351701
0.03 0.520607
0.04 0.681303
0.05 0.831254
0.06 0.968096
0.07 1.08967
0.08 1.19406
0.09 1.27962
0.1 1.345
0.11 1.38916
0.12 1.41142
0.13 1.41142
0.14 1.38916
0.15 1.345
0.16 1.27962
0.17 1.19406
0.18 1.08967
0.19 0.968096
0.2 0.831254
0.21 0.681303
0.22 0.520607
0.23 0.351701
0.24 0.177248
0.25 1.73191e-16
0.26 -0.177248
0.27 -0.351701
0.28 -0.520607
0.29 -0.681303
0.3 -0.831254
0.31 -0.968096
0.32 -1.08967
0.33 -1.19406
0.34 -1.27962
0.35 -1.345
0.36 -1.38916
0.37 -1.41142
0.38 -1.41142
0.39 -1.38916
0.4 -1.345
0.41 -1.27962
0.42 -1.19406
0.43 -1.08967
0.44 -0.968096
0.45 -0.831254
0.46 -0.681303
0.47 -0.520607
0.48 -0.351701
0.49 -0.177248
0.5 -3.46382e-16
0.51 0.177248
0.52 0.351701
0.53 0.520607
0.54 0.681303
0.55 0.831254
0.56 0.968096
0.57 1.08967
0.58 1.19406
0.59 1.27962
0.6 1.345
0.61 1.38916
0.62 1.41142
0.63 1.41142
0.64 1.38916
0.65 1.345
0.66 1.27962
0.67 1.19406
0.68 1.08967
0.69 0.968096
0.7 0.831254
0.71 0.681303
0.72 0.520607
0.73 0.351701
0.74 0.177248
0.75 5.19574e-16
0.76 -0.177248
0.77 -0.351701
0.78 -0.520607
0.79 -0.681303
0.8 -0.831254
0.81 -0.968096
0.82 -1.08967
0.83 -1.19406
0.84 -1.27962
0.85 -1.345
0.86 -1.38916
0.87 -1.41142
0.88 -1.41142
0.89 -1.38916
0.9 -1.345
0.91 -1.27962
0.92 -1.19406
0.93 -1.08967
0.94 -0.968096
0.95 -0.831254
0.96 -0.681303
0.97 -0.520607
0.98 -0.351701
0.99 -0.177248
